"Town","County","Postcode"
"PORTSTEWART","LONDONDERRY","BT557BG"
"PORTSTEWART","LONDONDERRY","BT557BW"
"PORTSTEWART","LONDONDERRY","BT557HH"
"PORTSTEWART","LONDONDERRY","BT557HW"
"BELFAST","DOWN","BT86JB"
"PORTSTEWART","LONDONDERRY","BT557AR"
"PORTSTEWART","LONDONDERRY","BT557EE"
"BALLYCASTLE","ANTRIM","BT546ND"
"PORTSTEWART","LONDONDERRY","BT557DA"
"PORTSTEWART","LONDONDERRY","BT557HF"
"PORTSTEWART","LONDONDERRY","BT557NF"
"PORTSTEWART","LONDONDERRY","BT557EB"
"PORTRUSH","ANTRIM","BT568AX"
"PORTSTEWART","LONDONDERRY","BT557AU"
"PORTSTEWART","LONDONDERRY","BT557BP"
"PORTRUSH","ANTRIM","BT568GL"
"PORTSTEWART","LONDONDERRY","BT557BX"
"PORTSTEWART","LONDONDERRY","BT557PQ"
"BELFAST","ANTRIM","BT146QR"
"PORTRUSH","ANTRIM","BT568BD"
"PORTRUSH","ANTRIM","BT568DY"
"BUSHMILLS","ANTRIM","BT578AQ"
"NEWRY","DOWN","BT356DX"
"PORTRUSH","ANTRIM","BT568HU"
"PORTRUSH","ANTRIM","BT568DQ"
"BUSHMILLS","ANTRIM","BT578YQ"
"PORTRUSH","LONDONDERRY","BT568SP"
"PORTRUSH","ANTRIM","BT568LE"
"PORTRUSH","ANTRIM","BT568PY"
"BUSHMILLS","ANTRIM","BT578SY"
"BUSHMILLS","ANTRIM","BT578UN"
"PORTBALLINTRAE","ANTRIM","BT578BP"
"PORTBALLINTRAE","ANTRIM","BT578YN"
"PORTRUSH","ANTRIM","BT568SJ"
"MOSSIDE","ANTRIM","BT538QZ"
"BUSHMILLS","ANTRIM","BT578YA"
"NEWRY","DOWN","BT356BS"
"BUSHMILLS","ANTRIM","BT578RB"
"PORTBALLINTRAE","ANTRIM","BT578YW"
"BUSHMILLS","ANTRIM","BT578AJ"
"PORTRUSH","LONDONDERRY","BT568SU"
"DOWNPATRICK","DOWN","BT307NU"
"BALLYCASTLE","ANTRIM","BT546NN"
"BELLAGHY","LONDONDERRY","BT458JQ"
"PORTRUSH","ANTRIM","BT568SX"
"PORTRUSH","ANTRIM","BT522LZ"
"BUSHMILLS","ANTRIM","BT578SG"
"PORTRUSH","ANTRIM","BT568DX"
"PORTRUSH","ANTRIM","BT568HQ"
"PORTRUSH","LONDONDERRY","BT568PJ"
"PORTRUSH","ANTRIM","BT568AY"
"PORTRUSH","ANTRIM","BT568HB"
"PORTRUSH","ANTRIM","BT568PW"
"PORTRUSH","LONDONDERRY","BT568PF"
"PORTRUSH","LONDONDERRY","BT568SE"
"PORTRUSH","ANTRIM","BT568JP"
"PORTRUSH","ANTRIM","BT568HJ"
"BELFAST","ANTRIM","BT100TJ"
"PORTRUSH","ANTRIM","BT568SB"
"PORTRUSH","LONDONDERRY","BT568LZ"
"PORTRUSH","LONDONDERRY","BT568SR"
"PORTBALLINTRAE","ANTRIM","BT578TT"
"BALLYCASTLE","ANTRIM","BT546EZ"
"BALLYCASTLE","ANTRIM","BT546DY"
"PORTBALLINTRAE","ANTRIM","BT578RL"
"LIMAVADY","LONDONDERRY","BT490JG"
"CASTLEROCK","LONDONDERRY","BT514SE"
"LIMAVADY","LONDONDERRY","BT490JE"
"LIMAVADY","LONDONDERRY","BT490LW"
"BALLYCASTLE","ANTRIM","BT546BN"
"NEWTOWNABBEY","ANTRIM","BT364NS"
"PORTRUSH","ANTRIM","BT568SA"
"PORTRUSH","ANTRIM","BT568JL"
"PORTRUSH","ANTRIM","BT568JA"
"BALLYCASTLE","ANTRIM","BT546NS"
"BALLYCASTLE","ANTRIM","BT546PN"
"CASTLEROCK","LONDONDERRY","BT514RE"
"CASTLEROCK","LONDONDERRY","BT514TH"
"BALLYCASTLE","ANTRIM","BT546DL"
"PORTRUSH","ANTRIM","BT568SW"
"LIMAVADY","LONDONDERRY","BT490LA"
"BALLYCASTLE","ANTRIM","BT546RN"
"BALLYCASTLE","ANTRIM","BT546LB"
"LIMAVADY","LONDONDERRY","BT490JY"
"BALLYCASTLE","ANTRIM","BT546AU"
"BALLYCASTLE","ANTRIM","BT546HL"
"BALLYCASTLE","ANTRIM","BT546WH"
"CASTLEROCK","LONDONDERRY","BT514XW"
"CASTLEROCK","LONDONDERRY","BT514HD"
"LIMAVADY","LONDONDERRY","BT490LT"
"BALLYCASTLE","ANTRIM","BT546HA"
"BALLYCASTLE","ANTRIM","BT546AQ"
"CASTLEROCK","LONDONDERRY","BT514RP"
"BALLYCASTLE","ANTRIM","BT546WB"
"BALLYCASTLE","ANTRIM","BT546PJ"
"CASTLEROCK","LONDONDERRY","BT514SS"
"PORTSTEWART","LONDONDERRY","BT557FA"
"COLERAINE","LONDONDERRY","BT513GR"
"CARRICKFERGUS","ANTRIM","BT387NP"
"PORTGLENONE","ANTRIM","BT448FB"
"COLERAINE","LONDONDERRY","BT513JX"
"COLERAINE","LONDONDERRY","BT513RF"
"PORTSTEWART","LONDONDERRY","BT557GD"
"COLERAINE","LONDONDERRY","BT513HX"
"COLERAINE","LONDONDERRY","BT513EJ"
"COLERAINE","LONDONDERRY","BT513DN"
"COLERAINE","LONDONDERRY","BT513BE"
